Husband_takes_drug,Media_usage,d101e,husband_drinks_alcohol,d121,wife_afraid_hasband,women_age,region,residence,v106,religion,ethnicity,no_of_H_members,age_H_head,wealth_Index,total_children_ever_born,currently_pregnant,No_of_living_children,number_of_other_wives,marital_duration,husband_education,husbands_occupation,,IPV 
1,0,0,0,0,1,4,4,2,0,2,2,0,60,0,4,1,4,0,18,0,33,,0
1,0,0,0,0,1,4,4,2,0,2,2,1,43,0,5,0,5,0,23,0,33,,0
1,0,0,0,0,1,7,4,2,0,2,2,0,55,0,7,0,7,0,13,0,33,,0
1,1,1,0,0,0,3,4,2,1,2,2,0,35,1,0,0,0,0,21,0,33,,0
1,1,0,0,0,1,3,4,2,1,2,2,0,30,1,2,0,2,0,19,2,33,,0
1,1,1,0,0,0,3,4,2,0,2,2,1,30,2,3,0,3,0,15,0,33,,0
1,1,1,0,1,1,3,4,2,0,2,2,1,32,2,7,1,6,0,17,0,33,,1
1,1,0,0,0,1,4,4,2,0,2,2,1,36,0,5,0,5,0,20,0,18,,0
1,0,0,0,0,0,6,4,2,0,2,2,1,49,1,6,0,6,0,21,0,33,,1
1,0,0,0,0,1,5,4,2,0,2,2,1,47,1,8,0,8,0,20,0,33,,0
1,0,0,0,0,1,5,4,2,0,2,2,1,42,0,6,1,5,0,26,0,33,,0
1,0,0,0,0,1,2,5,2,1,2,5,0,22,0,1,0,1,0,20,1,33,,0
1,0,0,0,0,1,4,5,2,0,2,5,1,35,0,6,0,6,1,17,0,33,,0
1,0,0,0,0,1,2,5,2,1,2,5,0,35,0,2,0,1,1,18,1,35,,0
1,0,0,0,0,1,3,5,2,0,2,5,1,30,0,6,0,6,0,15,1,33,,0
1,1,0,0,0,1,2,5,2,1,2,5,0,25,0,2,0,2,0,16,1,8,,0
1,0,0,1,0,0,3,3,2,0,0,1,1,35,2,5,0,5,0,10,0,33,,0
1,1,0,0,1,1,3,3,2,0,0,1,0,30,2,3,0,2,0,17,0,33,,0
1,0,1,1,1,1,3,3,2,0,0,1,0,35,1,3,0,3,0,12,1,33,,1
1,1,0,1,0,0,1,3,2,2,0,1,0,62,2,0,0,0,0,16,0,22.63274596,,0
